,index,mom_pct_change,rev_pct_change,SP500_pct_change
108.0,9.0,0.019406299552399975,0.005421658540317564,0.002263879356942944
109.0,9.0,0.014811985922576343,0.018828837871674987,0.0071235200993795544
112.0,9.0,0.002048994019498429,-0.0037774680773530857,-0.004296448099761374
113.0,9.0,-0.035102673099486795,-0.028228673192028663,-0.023381945257149872
114.0,9.0,0.0035873019981244036,0.011313789016331321,0.006462752419523099
115.0,10.0,0.048095957122422164,0.02484661113481692,0.012943228020842135
116.0,10.0,-0.021569281516080174,-0.01754036579451712,-0.016647680109796337
119.0,10.0,0.019375199057274584,0.010633406651682975,0.013120586781854904
120.0,10.0,-0.03671668070857291,-0.016542735796549725,-0.02383846584506677
121.0,10.0,-0.01264947632826512,-0.00486855144809023,-0.006586554728659322
122.0,10.0,-0.03905010620953805,-0.023286911118508013,-0.032353496411350324
